Model,Epoch,HR@10,NDCG@10
MLP-[16],1,0.4466887417218543,0.24874672826953298
MLP-[16],2,0.44933774834437085,0.24791697382961497
MLP-[16],3,0.44834437086092715,0.24980243499210927
MLP-[16],4,0.45298013245033114,0.25246508972044124
MLP-[16],5,0.447682119205298,0.2503180092881469
MLP-[16],6,0.44933774834437085,0.24975658043341423
MLP-[16],7,0.45182119205298016,0.2502338136464897
MLP-[16],8,0.4501655629139073,0.24994111709847466
MLP-[16],9,0.446523178807947,0.2494160487418777
MLP-[16],10,0.44950331125827814,0.24948717041894677
MLP-[16],11,0.4519867549668874,0.25188557428189995
MLP-[16],12,0.451158940397351,0.25187210302426294
MLP-[16],13,0.4514900662251656,0.25185276744686597
MLP-[16],14,0.45248344370860927,0.2517628835527677
MLP-[16],15,0.45364238410596025,0.25155639288805776
MLP-[16],16,0.44950331125827814,0.25007975595051707
MLP-[16],17,0.45314569536423843,0.251965599380045
MLP-[16],18,0.4501655629139073,0.25097790727487057
MLP-[16],19,0.4519867549668874,0.2510646336893933
MLP-[16],20,0.4519867549668874,0.25216504583583027
MLP-[16],21,0.45314569536423843,0.25162004823395684
MLP-[16],22,0.45298013245033114,0.25166334871074914
MLP-[16],23,0.45281456953642385,0.25159708797752
MLP-[16],24,0.45182119205298016,0.251385912733314
MLP-[16],25,0.4519867549668874,0.2525357423989686
MLP-[16],26,0.45298013245033114,0.25304258407518926
MLP-[16],27,0.4521523178807947,0.2529385383668463
MLP-[16],28,0.45281456953642385,0.2517229239102546
MLP-[16],29,0.45165562913907287,0.25149358387411497
MLP-[16],30,0.45314569536423843,0.2514901365873354
"MLP-[16, 8]",1,0.44884105960264903,0.2495542185223556
"MLP-[16, 8]",2,0.4456953642384106,0.24891472046693525
"MLP-[16, 8]",3,0.4774834437086093,0.26652532127560147
"MLP-[16, 8]",4,0.4996688741721854,0.27673337720228003
"MLP-[16, 8]",5,0.5197019867549669,0.2894659180350948
"MLP-[16, 8]",6,0.5324503311258278,0.2945241836381289
"MLP-[16, 8]",7,0.5407284768211921,0.3010140597801511
"MLP-[16, 8]",8,0.5486754966887417,0.30706563138257253
"MLP-[16, 8]",9,0.5543046357615894,0.3110823214447411
"MLP-[16, 8]",10,0.5612582781456954,0.314989994565697
"MLP-[16, 8]",11,0.5660596026490067,0.3157614590868321
"MLP-[16, 8]",12,0.5708609271523178,0.31901510895250884
"MLP-[16, 8]",13,0.5798013245033112,0.32577404737456267
"MLP-[16, 8]",14,0.5854304635761589,0.3284536931487633
"MLP-[16, 8]",15,0.5841059602649007,0.3289669452944428
"MLP-[16, 8]",16,0.5812913907284768,0.32987336589692856
"MLP-[16, 8]",17,0.5869205298013245,0.3322150594346339
"MLP-[16, 8]",18,0.5928807947019867,0.33697182582679447
"MLP-[16, 8]",19,0.5854304635761589,0.33275321044436434
"MLP-[16, 8]",20,0.5955298013245033,0.3372350275345638
"MLP-[16, 8]",21,0.5915562913907285,0.3380035710968951
"MLP-[16, 8]",22,0.590066225165563,0.33729069653687627
"MLP-[16, 8]",23,0.5938741721854305,0.33814061726957945
"MLP-[16, 8]",24,0.5970198675496688,0.34053097702138063
"MLP-[16, 8]",25,0.597682119205298,0.340019206318535
"MLP-[16, 8]",26,0.5951986754966887,0.3384539593595198
"MLP-[16, 8]",27,0.5960264900662252,0.3415582656292434
"MLP-[16, 8]",28,0.5975165562913908,0.34180962624947164
"MLP-[16, 8]",29,0.5925496688741722,0.3388581957653297
"MLP-[16, 8]",30,0.5996688741721854,0.3411528194414512
"MLP-[16, 32, 8]",1,0.44735099337748346,0.24458609540891865
"MLP-[16, 32, 8]",2,0.477317880794702,0.2622454978255615
"MLP-[16, 32, 8]",3,0.49850993377483444,0.2759757678340894
"MLP-[16, 32, 8]",4,0.5347682119205298,0.3002478110951047
"MLP-[16, 32, 8]",5,0.562251655629139,0.31166305345484036
"MLP-[16, 32, 8]",6,0.5794701986754967,0.32886749716855546
"MLP-[16, 32, 8]",7,0.590066225165563,0.3320514019305061
"MLP-[16, 32, 8]",8,0.5928807947019867,0.3357920083987595
"MLP-[16, 32, 8]",9,0.6006622516556291,0.34103325294802445
"MLP-[16, 32, 8]",10,0.6066225165562914,0.3455459872969622
"MLP-[16, 32, 8]",11,0.6107615894039735,0.35010060218720845
"MLP-[16, 32, 8]",12,0.6091059602649007,0.3499353675288557
"MLP-[16, 32, 8]",13,0.6097682119205298,0.34923209226196533
"MLP-[16, 32, 8]",14,0.6122516556291391,0.3512470634377306
"MLP-[16, 32, 8]",15,0.6152317880794702,0.3527461360257222
"MLP-[16, 32, 8]",16,0.6155629139072848,0.35508602817265594
"MLP-[16, 32, 8]",17,0.6193708609271523,0.35396158312739484
"MLP-[16, 32, 8]",18,0.622682119205298,0.3576495283886038
"MLP-[16, 32, 8]",19,0.6263245033112583,0.3613926720822007
"MLP-[16, 32, 8]",20,0.621523178807947,0.35971365489483786
"MLP-[16, 32, 8]",21,0.6254966887417218,0.359745481576633
"MLP-[16, 32, 8]",22,0.6233443708609272,0.36030169929683237
"MLP-[16, 32, 8]",23,0.6264900662251656,0.3622280538398337
"MLP-[16, 32, 8]",24,0.6276490066225165,0.36242940279693686
"MLP-[16, 32, 8]",25,0.6294701986754967,0.36247328103206133
"MLP-[16, 32, 8]",26,0.6314569536423841,0.361628607379849
"MLP-[16, 32, 8]",27,0.6274834437086093,0.36124619338073877
"MLP-[16, 32, 8]",28,0.6291390728476821,0.36233938258737636
"MLP-[16, 32, 8]",29,0.628476821192053,0.36289573731617036
"MLP-[16, 32, 8]",30,0.6296357615894039,0.36371259652365034
"MLP-[16, 32, 16, 8]",1,0.4519867549668874,0.24887111140356524
"MLP-[16, 32, 16, 8]",2,0.4682119205298013,0.2580100271126668
"MLP-[16, 32, 16, 8]",3,0.508112582781457,0.2814317942405583
"MLP-[16, 32, 16, 8]",4,0.5490066225165563,0.30117462568824416
"MLP-[16, 32, 16, 8]",5,0.5748344370860927,0.3184754747471679
"MLP-[16, 32, 16, 8]",6,0.581953642384106,0.3249043802380262
"MLP-[16, 32, 16, 8]",7,0.5951986754966887,0.3316985685838438
"MLP-[16, 32, 16, 8]",8,0.6033112582781457,0.33951000801020986
"MLP-[16, 32, 16, 8]",9,0.6018211920529801,0.3394116275850693
"MLP-[16, 32, 16, 8]",10,0.6115894039735099,0.3465478145956333
"MLP-[16, 32, 16, 8]",11,0.6124172185430463,0.3476771526543433
"MLP-[16, 32, 16, 8]",12,0.6149006622516556,0.349625169325433
"MLP-[16, 32, 16, 8]",13,0.6170529801324504,0.35154876985071287
"MLP-[16, 32, 16, 8]",14,0.6225165562913907,0.3557600254737095
"MLP-[16, 32, 16, 8]",15,0.6201986754966887,0.3549604884291894
"MLP-[16, 32, 16, 8]",16,0.6263245033112583,0.359048366716371
"MLP-[16, 32, 16, 8]",17,0.6185430463576159,0.3512609417876062
"MLP-[16, 32, 16, 8]",18,0.6206953642384105,0.3557945944305078
"MLP-[16, 32, 16, 8]",19,0.6274834437086093,0.36150435680794557
"MLP-[16, 32, 16, 8]",20,0.6271523178807947,0.3598384969213084
"MLP-[16, 32, 16, 8]",21,0.6299668874172185,0.36069894901726296
"MLP-[16, 32, 16, 8]",22,0.626158940397351,0.36216264180664653
"MLP-[16, 32, 16, 8]",23,0.6314569536423841,0.3623778531350855
"MLP-[16, 32, 16, 8]",24,0.6294701986754967,0.36250358891960877
"MLP-[16, 32, 16, 8]",25,0.6289735099337749,0.36380132211956934
"MLP-[16, 32, 16, 8]",26,0.6307947019867549,0.3650159708078897
"MLP-[16, 32, 16, 8]",27,0.6326158940397351,0.36647000707907984
"MLP-[16, 32, 16, 8]",28,0.6322847682119205,0.36618474149027713
"MLP-[16, 32, 16, 8]",29,0.633774834437086,0.3695655128613776
"MLP-[16, 32, 16, 8]",30,0.6327814569536424,0.36735608487697347
"MLP-[16, 64, 32, 16, 8]",1,0.45165562913907287,0.24679619675743972
"MLP-[16, 64, 32, 16, 8]",2,0.4857615894039735,0.26486558783791814
"MLP-[16, 64, 32, 16, 8]",3,0.5129139072847683,0.28059902268900144
"MLP-[16, 64, 32, 16, 8]",4,0.5496688741721855,0.3032554798549044
"MLP-[16, 64, 32, 16, 8]",5,0.5673841059602649,0.3174796809458061
"MLP-[16, 64, 32, 16, 8]",6,0.5846026490066225,0.3262914182791536
"MLP-[16, 64, 32, 16, 8]",7,0.5937086092715231,0.3375428734978308
"MLP-[16, 64, 32, 16, 8]",8,0.605794701986755,0.3420121207987121
"MLP-[16, 64, 32, 16, 8]",9,0.6109271523178808,0.3470233308411108
"MLP-[16, 64, 32, 16, 8]",10,0.6158940397350994,0.35287236309723297
"MLP-[16, 64, 32, 16, 8]",11,0.6256622516556292,0.35780410887232056
"MLP-[16, 64, 32, 16, 8]",12,0.6309602649006623,0.3608226257684571
"MLP-[16, 64, 32, 16, 8]",13,0.6299668874172185,0.3621059129076551
"MLP-[16, 64, 32, 16, 8]",14,0.6307947019867549,0.36399908266943615
"MLP-[16, 64, 32, 16, 8]",15,0.6334437086092716,0.36373485496774477
"MLP-[16, 64, 32, 16, 8]",16,0.635430463576159,0.3674666838628532
"MLP-[16, 64, 32, 16, 8]",17,0.6364238410596027,0.36748974960809594
"MLP-[16, 64, 32, 16, 8]",18,0.6360927152317881,0.3685250466503227
"MLP-[16, 64, 32, 16, 8]",19,0.634271523178808,0.36834925874368285
"MLP-[16, 64, 32, 16, 8]",20,0.6385761589403973,0.3685173027152201
"MLP-[16, 64, 32, 16, 8]",21,0.641887417218543,0.3706624264608616
"MLP-[16, 64, 32, 16, 8]",22,0.6413907284768212,0.3723615605463271
"MLP-[16, 64, 32, 16, 8]",23,0.6435430463576159,0.37197026866875116
"MLP-[16, 64, 32, 16, 8]",24,0.6423841059602649,0.37075276072793695
"MLP-[16, 64, 32, 16, 8]",25,0.6463576158940397,0.37527246850033485
"MLP-[16, 64, 32, 16, 8]",26,0.6427152317880794,0.37237584265308066
"MLP-[16, 64, 32, 16, 8]",27,0.6422185430463576,0.3716488299524236
"MLP-[16, 64, 32, 16, 8]",28,0.6427152317880794,0.3719054102403337
"MLP-[16, 64, 32, 16, 8]",29,0.6445364238410596,0.37477662920698174
"MLP-[16, 64, 32, 16, 8]",30,0.6402317880794702,0.3719291192839001
